stt,tinh,quan_huyen,xa_phuong,duong_pho,kc_duong_chinh,min_dorong_ngo,dien_tich,mat_tien,so_mattien,thoi_diem_hieu_luc,district,ward,REF_TINH_CODE,REF_HUYEN_CODE,REF_XA_CODE,don_gia1
1,Thành phố Hà Nội,Huyện Thạch Thất,Xã Chàng Sơn,Đường liên thôn,0,3.2,79,6.9,2,2021-06-22 00:00:00,thạch thất,thạch thất_chàng sơn,148873,152286,152355,0.0365
2,Thành phố Hà Nội,Huyện Thạch Thất,Xã Thạch Xá,Đường liên thôn,0,6,108,5.2,1,2021-06-14 00:00:00,thạch thất,thạch thất_thạch xá,148873,152286,152357,0.05
3,Thành phố Hà Nội,Huyện Thanh Oai,Xã Bích Hòa,Đường 21B,300,2.5,106,4,1,2021-06-25 00:00:00,thanh oai,thanh oai_bích hòa,148873,152384,195441,0.022078
4,Thành phố Hà Nội,Huyện Thanh Trì,Xã Tam Hiệp,"Đường Phan Trọng Tuệ (đoạn qua xã Tam Hiệp, Thanh Liệt, Tả Thanh Oai)",800,3.5,40.1,5.36,1,2021-06-23 00:00:00,thanh trì,thanh trì_tam hiệp,148873,152474,195383,0.0499
5,Thành phố Hà Nội,Huyện Thường Tín,Xã Vạn Điểm,Cao tốc Pháp Vân,350,2.8,179.5,11.2,1,2021-06-20 00:00:00,thường tín,thường tín_vạn điểm,148873,152587,152661,0.010523
6,Thành phố Hà Nội,Huyện Thường Tín,Xã Vạn Điểm,Cao tốc Pháp Vân,1000,3,538,15.9,1,2021-06-17 00:00:00,thường tín,thường tín_vạn điểm,148873,152587,152661,0.006166
7,Thành phố Hà Nội,Huyện Thường Tín,Xã Vạn Điểm,Cao tốc Pháp Vân,500,2,273,11.49,1,2021-06-02 00:00:00,thường tín,thường tín_vạn điểm,148873,152587,152661,0.006557
11,Thành phố Hà Nội,Huyện Ứng Hòa,Xã Đồng Tân,Đường 428A,750,5,664.6,25,3,2021-06-01 00:00:00,ứng hòa,ứng hòa_đồng tân,148873,152697,152746,0.003354
15,Thành phố Hà Nội,Huyện Thạch Thất,Xã Thạch Xá,Đường liên thôn,0,2.3,71,4.35,1,2021-06-08 00:00:00,thạch thất,thạch thất_thạch xá,148873,152286,152357,0.02
16,Thành phố Hà Nội,Huyện Thạch Thất,Xã Thạch Xá,Đường liên xã,60,5.5,110.1,8.6,2,2021-06-15 00:00:00,thạch thất,thạch thất_thạch xá,148873,152286,152357,0.025
17,Thành phố Hà Nội,Huyện Thạch Thất,Xã Thạch Xá,Đường liên xã,50,4.5,91,6.5,1,2021-06-17 00:00:00,thạch thất,thạch thất_thạch xá,148873,152286,152357,0.0232
18,Thành phố Hà Nội,Huyện Thạch Thất,Xã Thạch Xá,Đường liên xã,0,6,122.5,6.05,2,2021-06-08 00:00:00,thạch thất,thạch thất_thạch xá,148873,152286,152357,0.046
28,Thành phố Hà Nội,Huyện Quốc Oai,Xã Ngọc Liệp,Đại Lộ Thăng Long,1100,3,98.9,20.08,2,2021-06-25 00:00:00,quốc oai,quốc oai_ngọc liệp,148873,152080,152149,0.018063
31,Thành phố Hà Nội,Huyện Thanh Oai,Xã Tam Hưng,Tỉnh lộ 427B,0,7,84.8,5,2,2021-06-21 00:00:00,thanh oai,thanh oai_tam hưng,148873,152384,152452,0.04464
32,Thành phố Hà Nội,Huyện Thanh Oai,Xã Tam Hưng,Đường trục xã Tam Hưng: Đoạn giáp tỉnh lộ 427 đến trụ sở UBND xã Tam Hưng.,200,1.66,113,6.58,1,2021-06-01 00:00:00,thanh oai,thanh oai_tam hưng,148873,152384,152452,0.006881
33,Thành phố Hà Nội,Huyện Thanh Trì,Xã Liên Ninh,Quốc lộ 1A đoạn từ cầu Ngọc Hồi đến hết địa phận huyện Thanh Trì - Phía đối diện đường tầu,300,1.5,39.7,5.7,1,2021-06-24 00:00:00,thanh trì,thanh trì_liên ninh,148873,152474,152563,0.023
34,Thành phố Hà Nội,Huyện Thanh Trì,Xã Đại Áng,Đường Vĩnh Quỳnh - Đại Áng Từ hết địa phận xã Vĩnh Quỳnh đến hết địa phận xã Đại Áng,130,2,124.5,9.6,2,2021-06-02 00:00:00,thanh trì,thanh trì_đại áng,148873,152474,152565,0.017731
36,Thành phố Hà Nội,Huyện Thanh Trì,Xã Tứ Hiệp,Vũ Lãng,570,1.8,40,5,1,2021-06-16 00:00:00,thanh trì,thanh trì_tứ hiệp,148873,152474,195384,0.038
38,Thành phố Hà Nội,Huyện Thường Tín,Xã Thư Phú,Đường 427a,850,4,397.7,15.48,2,2021-06-10 00:00:00,thường tín,thường tín_thư phú,148873,152587,152665,0.0066
39,Thành phố Hà Nội,Huyện Ứng Hòa,Xã Hồng Quang,DT74,580,4,305.9,9.06,2,2021-06-21 00:00:00,ứng hòa,ứng hòa_hồng quang,148873,152697,152770,0.00349
40,Thành phố Hà Nội,Huyện Ứng Hòa,Xã Minh Đức,Đường 428A,0,7,144.7,6.71,1,2021-06-03 00:00:00,ứng hòa,ứng hòa_minh đức,148873,152697,152774,0.017903
41,Thành phố Hà Nội,Huyện Ứng Hòa,Xã Minh Đức,Đường 428A,0,7,168.5,6,1,2021-06-24 00:00:00,ứng hòa,ứng hòa_minh đức,148873,152697,152774,0.019211
46,Thành phố Hà Nội,Huyện Quốc Oai,Xã Cấn Hữu,Tỉnh lộ 421B,450,3.7,293,21.24,1,2021-06-01 00:00:00,quốc oai,quốc oai_cấn hữu,148873,152080,152151,0.008803
47,Thành phố Hà Nội,Huyện Quốc Oai,Xã Cấn Hữu,Tỉnh lộ 421B,290,2.5,175,12.61,2,2021-05-31 00:00:00,quốc oai,quốc oai_cấn hữu,148873,152080,152151,0.0075
48,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phú Kim,Đường tỉnh 420,0,7,100,5,2,2021-06-11 00:00:00,thạch thất,thạch thất_phú kim,148873,152286,152341,0.037
49,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phùng Xá,Đường liên thôn,138,1.8,251,2.07,1,2021-05-31 00:00:00,thạch thất,thạch thất_phùng xá,148873,152286,152359,0.006
50,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phùng Xá,Cổng Kết,0,5.5,74,4.7,1,2021-06-17 00:00:00,thạch thất,thạch thất_phùng xá,148873,152286,152359,0.02
51,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phùng Xá,Cổng Kết,0,5.5,73,5.12,2,2021-06-17 00:00:00,thạch thất,thạch thất_phùng xá,148873,152286,152359,0.0223
52,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phùng Xá,Đường liên thôn,80,1.9,170,10.3,1,2021-06-23 00:00:00,thạch thất,thạch thất_phùng xá,148873,152286,152359,0.008
62,Thành phố Hà Nội,Huyện Thường Tín,Xã Thư Phú,Đất ở khu dân cư nông thôn (Xã Thư Phú),950,5.5,136,5,1,2021-06-20 00:00:00,thường tín,thường tín_thư phú,148873,152587,152665,0.0115
63,Thành phố Hà Nội,Huyện Thường Tín,Xã Thư Phú,DT427,500,4,107.3,9.01,2,2021-06-14 00:00:00,thường tín,thường tín_thư phú,148873,152587,152665,0.019059
64,Thành phố Hà Nội,Huyện Thường Tín,Xã Thư Phú,DT427,700,2.9,354.7,14.9,1,2021-06-14 00:00:00,thường tín,thường tín_thư phú,148873,152587,152665,0.008651
70,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Thọ Lộc,Đường liên thôn,0,3.7,160,8.92,2,2021-06-21 00:00:00,phúc thọ,phúc thọ_thọ lộc,148873,151998,152062,0.013
71,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Thọ Lộc,Đường quốc lộ 32,0,20,32.5,4.5,1,2021-06-21 00:00:00,phúc thọ,phúc thọ_thọ lộc,148873,151998,152062,0.035
72,Thành phố Hà Nội,Huyện Quốc Oai,Xã Đông Yên,Tỉnh lộ 421B,0,15,117.2,6,1,2021-05-31 00:00:00,quốc oai,quốc oai_đông yên,148873,152080,195435,0.021391
73,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phùng Xá,Đường liên thôn,0,4.5,117,13.09,2,2021-06-25 00:00:00,thạch thất,thạch thất_phùng xá,148873,152286,152359,0.031
74,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phùng Xá,Đường liên thôn,20,1.9,160,14.16,1,2021-06-18 00:00:00,thạch thất,thạch thất_phùng xá,148873,152286,152359,0.008
75,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phùng Xá,Đường liên thôn,0,4.5,369,20.46,2,2021-06-18 00:00:00,thạch thất,thạch thất_phùng xá,148873,152286,152359,0.028
76,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phùng Xá,Đường Cổng Nùi,0,7,100,5,1,2021-05-31 00:00:00,thạch thất,thạch thất_phùng xá,148873,152286,152359,0.0483
77,Thành phố Hà Nội,Huyện Thanh Oai,Xã Thanh Thùy,Đường 427: Đoạn giáp Quốc lộ 21B đến hết địa phận xã Thanh Thùy.,850,3.15,130,11.1,1,2021-06-15 00:00:00,thanh oai,thanh oai_thanh thùy,148873,152384,152454,0.017505
81,Thành phố Hà Nội,Huyện Thường Tín,Xã Văn Tự,Quốc lộ 1A,80,1.8,169,8.2,1,2021-06-01 00:00:00,thường tín,thường tín_văn tự,148873,152587,152673,0.00693
84,Thành phố Hà Nội,Huyện Quốc Oai,Xã Đông Yên,Tỉnh lộ 421B,0,8,150.5,8.4,1,2021-06-09 00:00:00,quốc oai,quốc oai_đông yên,148873,152080,195435,0.015343
85,Thành phố Hà Nội,Huyện Sóc Sơn,Xã Hiền Ninh,Đất ở khu dân cư nông thôn (Xã Hiền Ninh),2500,5,270,10,1,2021-06-04 00:00:00,sóc sơn,sóc sơn_hiền ninh,148873,152186,152268,0.008143
